Timestamp,Email Address,Name,Location,Age Range,Gender,Role,Products Interested in Buying/Selling,Occupation ,Occupation  Sector,Target Regions
3/21/2024 14:25,reneetucker@gmail.com,Sandra Brown,Nigeria,56+,female,Buyer,"Battery Storage, Solar Panels, Inverters",Consultant,Agriculture,West Africa
10/26/2024 14:25,vsanders@davis-mcdaniel.com,Nathan Harris,Canada,36-45,Male,Seller,Battery Storage,Manufacturer,Agriculture,North America
4/1/2024 14:25,debbie58@stone.com,Jenny Wright,Canada,46-55,Female,Seller,"Wind Turbines, Consulting Services",Manufacturer,Manufacturing,West Africa
4/21/2024 14:25,timothy88@yahoo.com,Joshua Hernandez,Nigeria,26-35,Male,Buyer,"Wind Turbines, Inverters",Manufacturer,Energy,Middle East
10/14/2024 14:25,juan74@gmail.com,Ivan Anderson,Kenya,56+,Male,Buyer and Seller,"Wind Turbines, Inverters, Battery Storage",Installer,Energy,Australia
2/27/2024 14:25,kayla52@gmail.com,Michael Hernandez,Brazil,26-35,Male,Seller,Inverters,Distributor,Manufacturing,West Africa
3/11/2024 14:25,yorktracy@fry.com,William Smith,Kenya,46-55,Male,Seller,"Battery Storage, Wind Turbines, Inverters",Manufacturer,Manufacturing,North America
4/4/2024 14:25,dodsonjennifer@hartman.info,Kenneth Larson,Nigeria,26-35,Male,Buyer,"Inverters, Battery Storage",Installer,Energy,Australia
4/10/2024 14:25,johnsonjames@horn.net,Gary White,Kenya,46-55,Male,Seller,Inverters,Consultant,Manufacturing,Eastern Europe
7/10/2024 14:25,douglaspierce@hotmail.com,Amanda Bell,Nigeria,46-55,female,Buyer,"Inverters, Solar Panels, Wind Turbines",Consultant,Agriculture,North America
10/4/2024 14:25,deckerdavid@hamilton.com,Brian Scott,South Africa,26-35,Male,Buyer,"Battery Storage, Inverters",Consultant,Agriculture,North America
5/26/2024 14:25,davidwatkins@yahoo.com,Jason Wells,Canada,18-25,Male,Seller,Consulting Services,Manufacturer,Technology,East Africa
3/14/2024 14:25,amandasmith@gonzalez.info,Susan Rodriguez,South Africa,46-55,Female,Seller,"Solar Panels, Consulting Services",Distributor,Construction,South America
10/22/2024 14:25,davidgreen@hotmail.com,Lauren Kirk,Germany,56+,Male,Buyer and Seller,Solar Panels,Manufacturer,Technology,South America
1/11/2024 14:25,fpatel@jones.info,Ebony Walters,Canada,18-25,Female,Seller,"Solar Panels, Battery Storage, Consulting Services",Retailer,Agriculture,Australia
1/23/2024 14:25,william45@cole-williams.info,Jasmine Glover,China,46-55,Female,Buyer,"Battery Storage, Inverters",Distributor,Technology,West Africa
8/9/2024 14:25,toddlori@hotmail.com,Philip Mendez,India,26-35,Male,Buyer,"Wind Turbines, Inverters",Consultant,Agriculture,South America
2/14/2024 14:25,joshuahall@yahoo.com,Rebecca Wright,China,36-45,Female,Buyer,"Solar Panels, Inverters",Consultant,Construction,South Asia
2/4/2024 14:25,geoffrey35@hotmail.com,Brian Stanley,Brazil,26-35,Male,Buyer,"Solar Panels, Battery Storage",Retailer,Manufacturing,Australia
1/27/2024 14:25,angelriggs@hotmail.com,Marilyn Herrera,United States,46-55,Male,Seller,Consulting Services,Manufacturer,Agriculture,North America
